reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
a3d505ba-3b5f-493b-a9f9-292c185f8e4b,Rahmat Iman,https://play-lh.googleusercontent.com/a/ACg8ocK4ID7mmIm0fFLLkyXDJQAOQ5PwLR0jsTV1BWn6qhnjmFeQQw=mo,aplikasi bagus rekomended langsung keluar jadwal sholat tanpa ba bi bu,5,0,6.0.3,2025-05-23 10:23:03,,,6.0.3
241dc885-98e3-4af2-afdc-993798096c12,Suhaimi Suhaimi,https://play-lh.googleusercontent.com/a-/ALV-UjVfvTJO3PEiYyVINz346jH4jcEYD5UrsWyBYyGKJB1xRVN61vE1,masyaallah,5,0,6.0.3,2025-05-23 09:39:11,,,6.0.3
a7acd0b6-8594-4077-9c39-c62098051c0b,Aqila Syaqief,https://play-lh.googleusercontent.com/a-/ALV-UjWb7PRDhoeKdmBTm59BrAwODWj0Zs2_e4uVBmoxWkU9_9Ccj2qX,ok,5,0,6.0.3,2025-05-23 08:31:19,,,6.0.3
9ac3b217-ef8a-4395-991c-2894ffe4ae39,Sukandar Nandar,https://play-lh.googleusercontent.com/a/ACg8ocKH36R82k20LB8zHy9UuMhFNIkqRe2UOqC6HAX8VoiT2Vf2Lw=mo,sangat baik..,5,0,,2025-05-23 04:36:20,,,
0d8ecf13-e92f-49d8-a299-d1f329879a85,ita irawati,https://play-lh.googleusercontent.com/a/ACg8ocL5Y7Atj-DiljFUHBOo3UTA4kBLYqpy_ahlFLnd9M1hnDYKOg=mo,"Aplikasinya mudah dipakai , hanya Alqurannya blom ada suaranya ya",5,0,6.0.3,2025-05-23 00:15:24,,,6.0.3
04e5bcce-e4fd-423c-a174-058bd451f456,Andri Firdaus,https://play-lh.googleusercontent.com/a-/ALV-UjW0e48xVyUgbYdaqjqaZ2mZ-hxs3uOgRZLxwx2t9TZb-ED345DX,Bagus ...sangat bermanfaat,5,0,6.0.3,2025-05-22 14:19:35,,,6.0.3
de15609a-7460-4bb3-8b7d-fc9bf7157a56,Muda Pasaribu,https://play-lh.googleusercontent.com/a-/ALV-UjV7a_1i3Qn3aHjaVipbVcgyxjLYreVw91T4B3QTSYqrqbFEgpJB,"Alhamdulillah, Trima kasih atas aplikasi yg bermanfaat ini",5,0,6.0.3,2025-05-22 08:22:47,,,6.0.3
9fe146d8-3cd6-479a-8388-6c511924c7f0,Muhammad Rizal,https://play-lh.googleusercontent.com/a/ACg8ocIcZfShgxY8Wj5c5q_fzMEZLiO9rwNQkVOprCZQEKzZ6C4lQg=mo,cara mengaktifkan suara adzan nya,2,0,6.0.3,2025-05-22 05:36:17,"1. Ada lonceng di layar utama di samping nama-nama doa, Anda harus menyalakannya. 2. Buka pengaturan ponsel Anda dan matikan mode hemat daya dan temukan bagian “Aplikasi”, cari “Sajda”, konfigurasikan: Tampilkan pemberitahuan di layar, “Aktifkan pemberitahuan untuk Sajda” atau
“Izinkan pemberitahuan untuk Sajda”.",2025-05-22 14:14:40,6.0.3
9e9c5dbf-eb80-45ba-9b04-88a34e14a90c,Kanda wahyu Pratama,https://play-lh.googleusercontent.com/a-/ALV-UjX9pTUp6ziwHm6CLo0a6jfzsj8okeOyIgXbAU5muKK-2KrkCsgt,bagus,5,0,6.0.3,2025-05-22 05:06:00,,,6.0.3
e6424218-ccac-470c-9dc6-50c518c2213c,Dahrul Irfan,https://play-lh.googleusercontent.com/a/ACg8ocJrPYZWR6RJHvCw4_HDuDjlfjsjXgdOvW5Gd95nEy0eNQteBw=mo,sangat membantu,5,0,6.0.3,2025-05-22 03:18:00,,,6.0.3
71450520-0116-4b1c-a78c-43addbceee03,wahyu dion,https://play-lh.googleusercontent.com/a-/ALV-UjWGIFfdMhgTXsYcqRBoqtvDvxUuYNfsliBIAs00ZPw5Z0AwJiBq,"saya suka aplikasi ini, berjalan secara offline dan lengkap.",5,0,,2025-05-21 22:50:52,,,
9aea342c-35e9-4de7-ac4a-68d5f9e9f555,Raihan R Dilapanga,https://play-lh.googleusercontent.com/a/ACg8ocIlfjhfu4rjtaF1Id8buHOx0gsGOE8XBK9VQt-h-TnJoDfqvA=mo,Nice,5,0,6.0.3,2025-05-21 21:20:55,,,6.0.3
d00c9425-69b0-456d-b627-8336c1f65682,surami rami,https://play-lh.googleusercontent.com/a/ACg8ocLoYBr60vaKpZuECKUMs2hnr3NcmJRmTah5QMhlchzieJlyuw=mo,"penyentil halus,hp aja tepat waktu Tp manusia yg sering menunda waktu 🙏",5,0,5.2.3,2025-05-21 20:32:07,,,5.2.3
03899785-2532-4895-9376-01f848712bd8,Andik Arianto,https://play-lh.googleusercontent.com/a-/ALV-UjWEyoUBfz69r5efNeRfIkK6H2paY3P-4rc6UrtKfPEWBJ8L6vON,Masya Allah Bagus banget,5,0,6.0.3,2025-05-21 16:00:50,,,6.0.3
46539707-e192-4b72-ac70-ff55426e6afb,Saleh Sidik,https://play-lh.googleusercontent.com/a/ACg8ocKtWis73KUYTGlGNdmQNbXxiLr5NoQe00gcPyQqHx3mmfJ8BA=mo,terbaik,5,0,6.0.3,2025-05-21 15:48:01,,,6.0.3
cfc27e7b-e941-47c4-bd30-80cb169fa19c,Bahrul Yahya,https://play-lh.googleusercontent.com/a/ACg8ocLHZy76kAinYMFRYQLfmMjpbwOttozkURV0LjCYPlrCdKBfo-0=mo,جزاك الله خيرا,5,0,6.0.3,2025-05-21 14:26:55,,,6.0.3
bea8e6b3-4213-4a81-a855-4974a5818f72,Adzril Khalid,https://play-lh.googleusercontent.com/a/ACg8ocJeEhHcq5ZdA0S2K1uTxB8-DlBVvo9-EiVk9YuYDmb3D84Grg=mo,saya sudah mencobanya dan memang aplikasinya tidak ada iklan. dan pengingat adzannya tetap aktif meskipun data selulernya dalam keadaan nonaktifkan. jazakallah Khair..,5,5,6.0.3,2025-05-21 12:35:39,,,6.0.3
8c822920-cfa4-4c56-99c7-5eb0a672e813,Fahima Nurmaulidya,https://play-lh.googleusercontent.com/a-/ALV-UjWRCohyRMJgOx4syGQlhUJGTqjTMPCpi4RMKWZ0Mz19VZQ8k5x5,terima kasih🙏 bagus banget sangat bermanfaat buat saya👍,5,0,6.0.3,2025-05-21 12:02:32,,,6.0.3
7ae8c86c-8c89-4c92-9803-275cfcd7c7eb,Haryoso Haryoso,https://play-lh.googleusercontent.com/a/ACg8ocL0sEUo_8zCuqeDCqFGCCD2jLH9ePBid8KP3Ml6FK3LwCa5gA=mo,"Tepat waktu ,enak didengar.",5,0,6.0.3,2025-05-21 10:34:18,,,6.0.3
d6b90f79-47f7-4a4e-a6cf-e78c7d5934b4,rudiasworo prayogo,https://play-lh.googleusercontent.com/a-/ALV-UjVYdiMjhL7T1Wwj2TM4MwtKuWtKrcfNX8u-kp2rhnJ-v8RGOp5s,Simpel aja,5,0,6.0.3,2025-05-21 08:34:48,,,6.0.3
